"Account Login","přihlášení"
"Account Password","heslo"
"Account Type","Typ účtu"
"Active","Aktivní"
"Add Attribute Mapping","Propojit vlastnosti"
"Add New Attribute","Přidat novou vlastnost"
"Add to Google Base","Přidat do Google Base"
"Are you sure?","Jste si jisti?"
"Attribute","Vlastnosti"
"Attribute Set","Sada vlastností"
"Attribute Set and Item Type","Sada vlastností a typů položky"
"Attributes","Vlastnosti"
"Attributes Mapping","Přiřazení vlastností"
"Attributes Set","Sada vlastností"
"AuthSub","AuthSub"
"Available Products","Dostupné produkty"
"British Pound Sterling","Libra šterlinků (GB)"
"Cannot update Google Base Item for Store '%s'","Nelze aktualizovat Google Base položky pro obchod '%s'"
"Captcha confirmation error: %s","Chyba ověřovacího obrázku: %s"
"Captcha has been confirmed.",""
"Catalog","Katalog"
"Clicks","Klik"
"ClientLogin","Přihlášení"
"Confirm","Potvrzení"
"Current Mapping will be reloaded. Continue?","Aktuální mapování bude znovunačteno. Pokračovat?"
"Custom attribute, no mapping","Vlastní atribut, nemapováno"
"Delete","Smazat"
"Delete Mapping","Smazat přiřazení"
"Edit Item Type","Upravit typ položky"
"Edit Item Type ""%s""","Upravit typ položky ""%s"""
"Error: %s","Chyba: %s"
"Euro","Euro"
"Expires","Vyprší"
"Germany","Německo"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Vlastnosti Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base typ položky"
"Google Base Item type","Google Base typ položky"
"Google Base Items","Položky Google Base"
"Google base","Google base"
"Hide","Skrýt"
"Hosted","Hostováno"
"Hosted or Google","Vlastní hosting nebo Google"
"Impr.","Zobr."
"Invalid Product Model for Google Base Item","Chybný model produktu pro položku Google Base"
"Item Type was deleted","Typ položky byl smazán"
"Item Types","Typy položky"
"Item model is not specified to delete Google Base entry.","Model položky není specifikován v Google Base"
"Items","Položky"
"Manage Attribute Mapping","Spravovat vlastnosti přiřazení"
"Manage Attributes","Správa vlastností"
"Manage Items","Spravovat položky"
"New Item Type","Nový typ položky"
"New ItemType","Nový typ položky"
"No","Ne"
"No items were deleted from Google Base","Nebyly smazány žádné položky z Google Base"
"No items were published","Žádné položky nebyly zveřejněny"
"No items were saved as inactive items","Žádné položky nebyly uloženy jako neaktivní položky"
"No products were added to Google Base","Žádné produkty nebyly přidány do Google Base"
"Object model is not specified to save Google Base entry.","Není definován objektový model pro ukládání v Google Base"
"Page views","Zobrazení stránek"
"Please, select Attribute Set and Google Item Type to load attributes","Prosím vyberte množinu vlastností a typ položky k načtení atributů"
"Product Name","Název produktu"
"Publish","Zveřejnit"
"Published","Zveřejněno"
"Remove","Odstranit"
"Save Mapping","Uložit přiřazení"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session vypršela během exportu. Prosím zkontrolujte exportované produkty a zopakujte export pokud to bude potřeba"
"Synchronize","Synchronizovat"
"Target Country","Cílová země"
"The item type has been saved.","Typ položky byl úspěšně uložen"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Tato akce aktualizuje statistiku a odebere položky které nejsou dostupné v Google Base. Pokračovat?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Celkem smazáno položek: %d, celkem aktualizováno položek: %d"
"Total of %d items(s) have been published.","Celkem publikováno položek: %d"
"Total of %d items(s) have been removed from Google Base.","Celkem odebráno položek z Google Base: %d"
"Total of %d items(s) have been saved as inactive items.","Celkem uloženo položek jako neaktivní: %d"
"Total of %d product(s) have been added to Google Base.","Celkem uloženo položek do Google Base: %d"
"US Dollar","Americký dolar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Nelze se spojit s Google Base. Prosím zkontrolujte nastavení účtu v nastavení."
"Unable to select a Store View.","Nelze vybrat pohled na obchod"
"United Kingdom","Spojené království"
"United States","Spojené státy"
"Update Google Base Item when Product is Updated","Aktualizovat položky v Google Base pokud je produkt aktualizován"
"View Available Products","Zobrazit dostupné produkty"
"View Item in Google Base","Zobrazit položky v Google Base"
"Yes","Ano"
"Captcha confirmed successfully","Captcha úspěšně potvrzena"
