"Action","Událost"
"An error occurred while writing to the backup file ""%s"".","Chyba při zápisu záložního souboru ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Soubor se zálohou ""%s"" nelze číst nebo do něj zapsat."
"Backup file ""%s"" does not exist.","Soubor se zálohou ""%s"" neexistuje."
"Backup file does not exist.","Soubor se zálohou neexistuje."
"Backup file handler was unspecified.","Ovladač záloh není specifikován."
"Backup file path was not specified.","Cesta k záloze není specifikována."
"Backups","Zálohy"
"Cannot read backup file.","Soubor se zálohou nelze přečíst."
"Create Backup","Vytvořit zálohu"
"DB","DB"
"Database was successfuly backed up.","Databáze byla úspěšně zálohována."
"Download","Stáhnout"
"Size, Bytes","Velikost, byte"
"The file was compressed with Zlib, but this extension is not installed on server.","Soubor je komprimován Zlib, ale toto rozšíření není na serveru nainstalováno."
"Time","Čas"
"Type","Typ"
"Unable to create backup. Please, try again later.","Nelze vytvořit zálohu. Prosím zkuste to později."
"Wrong order of creation for new backup.","Špatné řazení pro vytvoření nové zálohy."
"All types","Všechny typy"
