"%s","%s"
"-- Please Select --","-- Prosím vyberte --"
"Actions","Události"
"Add Layout Update","Přidat aktualizaci rozvržení"
"Add New Widget Instance","Přidat novou instanci widgetu"
"All","Vše"
"All Pages","Všechny stránky"
"All Product Types","Všechny typy produktů"
"Anchor Categories","Odkaz na kategorie"
"Assign to Store Views","Přiřadit do obchodu"
"Big Image","Velký obrázek"
"Block Reference","Odkaz na blok"
"CMS","CMS"
"Categories","Kategorie"
"Choose...","Vyberte..."
"Close","Zavřít"
"Continue","Pokračovat"
"Default Template","Výchozí Šablona"
"Delete","Smazat"
"Design Package/Theme","Balík vzhledu/tématu"
"Export to:","Export do:"
"Frontend Properties","Přední vlastnosti"
"Generic Pages","Generic Pages"
"Images","Obrázky"
"Insert Widget","Vložit widget"
"Layout Updates","Aktualizovat rozvržení"
"Manage Widget Instances","Spravovat instance widgetů"
"New Instance","Nová instance"
"New Widget Instance","Nová instance widgetu"
"Next page","Další stránka"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Nevybráno"
"Page","Stránka"
"Please Select Block Reference First","Nejprve vyberte odkaz pro blok"
"Previous page","Předchozí stránka"
"Products","Produkty"
"Remove Layout Update","Odstranit aktualizaci rozvržení"
"Save and Continue Edit","Uložit a pokračovat v úpravách"
"Select All","Vybrat vše"
"Select Visible","Označit viditelné"
"Settings","Nastavení"
"Sort Order","Řazení"
"Sort Order of widget instances in the same block reference","Řazení instancí widgetů ve stejném bloku"
"Specific %s","Specifický %s"
"Specified Page","Specifikovaná stránka"
"Template","Šablona"
"The information in this tab has been changed.","Informace v této záložce byly změněny."
"The widget instance has been deleted.","Instance widgetu byla smazána."
"The widget instance has been saved.","Instance widgetu byla uložena."
"This tab contains invalid data. Please solve the problem before saving.","Tato záložka obsahuje chybná data. Odstraňte je prosím před uložením."
"Thumbnail","Náhled"
"Total %d records found","Celkem nalezeno záznamů: %d"
"Type","Typ"
"Unselect All","Odznačit vše"
"Unselect Visible","Odznačit viditelné"
"View","Pohled"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID widgetu"
"Widget Instance","Instance widgetu"
"Widget Instance Title","Nadpis widgetu"
"Widget Options","Možnosti widgetu"
"Widget Type","Typ widgetu"
"Widget Type is not specified","Typ widgetu není vybrán"
"Widget instance is not full complete to create.","Instance widgetu není kompletní pro vytvoření."
"Widgets","Widgety"
"Wrong wigdet instance specified.","Vybrána chybná instance widgetu."
"items selected","Vybrané položky"
"of %s pages","stránek %s"
"per page","na stránku"
