"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D ověření platební karty"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Card Verification","Ověření platební karty"
"Enrolled","Enrolled"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Failed","Neúspěšné"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Merchant Liability"
"Not Enrolled","Not Enrolled"
"Order cannot be placed.","Order cannot be placed."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Prosím pokračujte v odeslání objednávky."
"Please verify the card with the issuer bank before placing the order.","Prosím ověřte kartu u vydávající banky před dokončením objednávky."
"Please verify the card with the issuer bank:","Prosím ověřte kartu u vydávající banky:"
"Start/Reset Validation...","Spustit/obnovit ověřování..."
"Successful","Úspěch"
"Successful attempt","Úspěšný pokus"
"The card has failed verification with the issuer bank.","Kartu se nepodařilo ověřit u banky."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Došlo k chybné informaci o platbě, nebo byla překročena časová lhůta. Prosím zkuste to znovu."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Došlo k chybné informaci o platbě, nebo byla překročena časová lhůta. Prosím zkuste to znovu."
"This card has failed validation and cannot be used.","Karta byla neúspěšně ověřena a nemůže být použita."
"This card has failed validation, but it is possible to place the order.","Tato karta byla chybně ověřena, ale je možné dokončit objednávku."
"To ensure the security of your transactions","Aby byla zajištěna bezpečnost vašich transakcí"
"Unable to complete","Nelze dokončit"
"Validation failed.","Chyba ověření."
"Verification Failed","Ověření selhalo"
"Verification Successful","Ověření bylo úspěšné"
"Verification cannot be processed","Ověření nemůže být zpracováno"
"Verified by Visa","Ověřuje Visa"
