"A block identifier with the same properties already exists in the selected store.","Identifikátor bloku s těmito vlastnostmi ve vybraném obchodě již existuje."
"A directory with the same name already exists. Please try another folder name.","Adresář již existuje, zkuste jiné jméno."
"A page URL key for specified store already exists.","Tento URL klíč používá v tomto obchodě již jiná stránka."
"Action","Událost"
"Add New Block","Přidat nový blok"
"Add New Page","Přidat novou stránku"
"All Countries","Všechny země"
"An error occurred while saving the page.","Chyba při ukládání stránky."
"Anchor Custom Text","Vlastní text kotvy"
"Anchor Custom Title","Vlastní nadpis kotvy"
"Are you sure you want to delete current folder?","Opravdu chcete smazat tento adresář?"
"Are you sure you want to delete the selected file?","Opravdu chcete smazat vybrané soubory?"
"Block","Blok"
"Block Information","Informace o bloku"
"Block Title","Nadpis bloku"
"CMS","CMS"
"CMS Content Wrapper","CMS obsah"
"CMS Home Page","Domovská stránka CMS"
"CMS No Cookies Page","CMS stránka Zakázané cookies"
"CMS No Route Page","CMS Stránka nenalezena"
"CMS No-Route Page","CMS Stránka nenalezena"
"CMS Page","Stránka CMS"
"CMS Page Link","Odkazna stránku CMS"
"CMS Page Link Block Template","Odkaz na šablonu bloku"
"CMS Page Link Inline Template","Odkaz na vnořené šablony"
"CMS Pages (All)","CMS Stránky (všechny)"
"CMS Static Block","Statické bloky CMS"
"CMS Static Block Default Template","Výchozí šablona statických bloků"
"Cannot create new directory.","Nelze vytvořit nový adresář."
"Cannot delete directory %s.","Adresář %s nelze smazat."
"Cannot delete root directory %s.","Kořenový adresář %s nelze smazat."
"Cannot upload file.","Soubor nelze nahrát."
"Collapse All","Sbalit vše"
"Content","Obsah"
"Content Heading","Obsah hlavičky"
"Content Management","Správa obsahu"
"Contents of a Static Block","Obsah statického bloku"
"Create Folder...","Vytvořit adresář..."
"Custom Design","Uživatelský Vzhled"
"Custom Design From","Vlastní vzhled od"
"Custom Design To","Vlastni vzhled do"
"Custom Layout","Vlastní rozvržení"
"Custom Layout Update XML","Aktualizovat rozvržení XML"
"Custom Theme","Uživatelské téma"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Date Created","Datum vytvoření"
