"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" není dostupný v požadovaném množství. %s bude objednáno u výrobce."
"%s is available for purchase in increments of %s only.","%s lze zakoupit pouze po %s."
"%s is not a correct comparsion method.","%s nejsou platné porovnávací metody."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Mějte na paměti</strong>, že tato nastavení jsou použitelná na zboží v košíku, nikoliv na celý košík."
"Add Minimum Qty","Přidat minimální množství"
"Allow Qty Below 0","Povolit množství menší než 0"
"Allow Qty Below 0 and Notify Customer","Povolit množství menší než 0 a upozornit zákazníka"
"Automatically Return Credit Memo Item to Stock","Automaticky vrátit na sklad po vystavení dobropisu"
"Backorders","Zpětné objednávky"
"By Fixed value","Podle pevné hodnoty"
"By Percentage","Podle procent"
"Cannot specify product identifier for the order item.","Není specifikován identifikátor produktu pro objednávku."
"Catalog Inventory","Sklad"
"Decrease Stock When Order is Placed","Snížit množství na skladě když je objednávka přijata"
"Enable Qty Increments","Povolit snižování množství"
"In Stock","Skladem"
"Index Product Stock Status","Stav indexů skladu"
"Inventory","Sklad"
"Inventory API","API skladu"
"Inventory Section","Sklad"
"Manage Stock","Spravovat sklad"
"Maximum Qty Allowed in Shopping Cart","Maximální dovolené množství v košíku"
"Minimum Qty","Minimální množství"
"Minimum Qty Allowed in Shopping Cart","Minimální množství dovolené v košíku"
"No Backorders","Nedovolit zpětné objednávky"
"Not all products are available in the requested quantity","Některý z produktů nemůže být objednán v požadovaném množství"
"Notify for Quantity Below","Upozornit pro množství menší než"
"Only X left Threshold","Pouze X chybí do"
"Out of Stock","Vyprodáno"
"Product Stock Options","Možnosti skladu"
"Qty Increments","Množství přírůstku"
"Qty for Items' Status to Become Out of Stock","Minimální množství pro stav ""Vyprodáno"""
"Retrieve stock data","Načíst data skladu"
"Retrieve stock data by product ids","Získat data skladu podle ID produktu"
"Rule price","Pravidla cen"
"Set Items' Status to be In Stock When Order is Cancelled","Nastavit stav ""Na skladě"" pokud je objednávka zrušena"
"Some of the products are currently out of stock","Některý z požadovaných produktů je momentálně vyprodán."
"Some of the products cannot be ordered in requested quantity.","Některý z produktů nemůže být objednán v požadovaném množství."
"Some of the products cannot be ordered in the requested quantity.","Některý z produktů nemůže být objednán v požadovaném množství."
"Stock Options","Možnosti skladu"
"Stock Status","Stav skladu"
"The maximum quantity allowed for purchase is %s.","Maximální povolené množství na objednávku je %s."
"The minimum quantity allowed for purchase is %s.","Minimální povolené množství na objednávku je %s."
"The requested quantity for ""%s"" is not available.","Požadované množství ""%s"" není dostupné."
"The requested quantity is not available.","Požadované množství není dostupné."
"The stock item for Product in option is not valid.","Skladová položka pro produkt s volbou není platná."
"The stock item for Product is not valid.","Skladová položka pro produkt není platná."
"This product is available for purchase in increments of %s only.","Tento produkt lze zakoupit pouze po %s."
"This product is currently out of stock.","Tento produkt je momentálně vyprodán."
"This product is not available in the requested quantity. %s of the items will be backordered.","Tento produkt není dostupný v požadovaném množství. %s bude objednáno u výrobce."
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Procentně"
"Undefined product type.","Nedefinovaný typ produktu."
"Update","Aktualizovat"
"Update product stock data","Aktualizovat skladová data produktu"
"Update the Product","Aktualizovat produkt"
