"Express Checkout and Order have been canceled.","Expresní platba a objednávka byla zrušena."
"Express Checkout has been canceled.","Expresní platba byla zrušena."
"Fetch","Dosáhnout (Fetch)"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal Express Checkout (Payflow Edition) Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"PayPal Express Order Review Form","PayPal Express Order Review Form"
"PayPal Settlement Reports","PayPal zúčtovací zprávy"
"Payment has been declined. Please try again.","Platba byla odmítnuta. Zkuste to prosím znovu."
"Pending PayPal","Čekající PayPal"
"Reports","Reporty"
"Sales","Prodeje"
"Solo","Jednotlivé"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Nelze zrušit expresní platbu (Express Checkout)."
"Unable to initialize Express Checkout review.","Nelze inicializovat Express Checkout review."
"Unable to place the order.","Objednávku nelze zadat."
"Unable to process Express Checkout approval.","Nelze zpracovat schválení Express Checkout."
"Unable to start Express Checkout.","Nelze spustit Express Checkout."
"Unable to update shipping method.","Nelze aktualizovat způsob dopravy."
"View","Pohled"
"View Transaction","Zobrazit transakce"
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"You will be redirected to the PayPal website in a few seconds.","Během několika sekund budete přesměrováni na stránky PayPal."
"Debit or Credit Card","Debit or Credit Card"
"Maestro/Solo","Maestro/Solo"
"PayPal","PayPal Email"
