"A joint field with this alias (%s) is already declared.","Spojené pole s tímto aliasem (%s) jsou již deklarována"
"Add Option","Přidat možnost"
"An error occurred while loading a record, aborting. Error: %s","Chyba při nahrávání záznamů, přerušuji. Chyba: %s"
"An error occurred while loading the collection, aborting. Error: %s","Problém při nahrávání kolekce, přerušuji. Chyba: %s"
"An error occurred while saving a record, aborting. Error: ","Problém při ukládání záznamu, přerušuji. Chyba:"
"Attempt to add an invalid object.","Pokus o přidání neplatného objektu"
"Attribute '%s' used in configurable products.","Vlastnost '%s' použitá v konfigurovatelných produktech."
"Attribute Code","Kód vlastnosti"
"Attribute Label","Nadpis vlastnosti"
"Attribute Properties","Možnosti vlastnosti"
"Attribute set with the ""%s"" name already exists.","Množina vlastností s tímto jménem již existuje (""%s"")"
"Attribute with the same code","Vlastnost se stejným kódem"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Data integrity: No header row found for attribute.","Data integrity: Nenalezena hlavička pro atribut"
"Date","Datum"
"Decimal Number","Reálná čísla"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Výchozí řazení produktů není dostupné v Povolené možnosti řazení produktů"
"Default Value","Výchozí hodnota"
"Default option value is not defined.","Výchozí hodnota možnosti není definována"
"Delete","Smazat"
"Dropdown","Rozbalovací nabídka"
"Email","email"
"Entity collection expected.","Očekávána kolekce entit"
"Entity collections expected.","Očekávána kolekce entit"
"Entity is not initialized.","Entita není inicializována"
"Failed to load node %s from config.","Chyba při načítání uzlu %s z konfigurace."
"For internal use. Must be unique with no spaces","Pro vnitřní použití. Musí být unikátní a bez mezer "
"Form Element with the same attribute","Prvek formuláře se stejnými vlastnostmi"
"Form Fieldset with the same code","Množina vlastností se stejným kódem"
"Form Type with the same code","Typ formuláře se stejným kódem"
"Frontend label is not defined.","Jmenovka obchodu není definována"
"Input Validation for Store Owner","Ověření vstupu pro majitele obchodu"
"Integer Number","Celá čísla"
"Invalid EAV attribute.","Neplatný typ vlastnosti"
"Invalid alias, already exists in joint attributes.","Invalidní druhé jméno, již existuje v spojených atributech"
"Invalid attribute name: %s.","Neplatný název vlastnosti: %s"
"Invalid attribute requested: %s","Požadovaný neplatný objekt: %s"
"Invalid attribute type.","Neplatný typ vlastnosti"
"Invalid character encountered in increment ID: %s","Neplatný znak ve zvyšovaném ID: %s"
"Invalid entity specified","Chybně specifikovaná entita"
"Invalid entity supplied.","Chybně dodaná entita"
"Invalid entity supplied: %s.","Chybně dodaná entita: %s"
"Invalid entity type.","Chybný typ entity"
"Invalid entity_id, skipping the record.","Invalidní entity_id, záznam přeskočen"
"Invalid entity_type specified: %s","Specifikován chybný entity_type: %"
"Invalid foreign key.","Neplatný cizí klíč"
"Invalid form type.","Neplatný typ formuláře"
"Invalid joint fields.","Chybně spojená pole"
"Invalid store specified","Chybně specifikovaný obchod"
"Joined field with this alias is already declared.","Spojená pole s tímto aliasem jsou již deklarována"
"Joint field or attribute expression with this alias is already declared.","Spojená pole nebo vlastnost s tímto aliasem je již deklarováno"
"Letters","Znaky"
"Letters (a-z, A-Z) or Numbers (0-9)","Znaky (a-z, A-Z) nebo čísla (0-9)"
"Loaded %d records","Nahráno záznamů: %d"
"Multiple Select","Vícenásobný výběr"
"No","Ne"
"No options found in config node %s","Nenalezeny žádné konfigurační volby pro uzel: %s"
"None","Nic"
"Not shared with other products","Nesdílet s ostatními produkty"
"Problem loading the collection, aborting. Error: %s","Problém při nahrávání kolekce, přerušuji. Chyba: %s"
"Problem saving the collection, aborting. Error: %s","Problém při ukládání kolekce, přerušuji. Chyba: %s"
"Required","Vyžadováno"
"Saved %d record(s).","Nahráno záznamů: %d"
"Scope must not be changed, because the attribute is used in configurable products.","Rozsah nesmí být měněn, protože vlastnost je používána v konfigurovatelných produktech."
"System","systém"
"Text Area","Textové pole"
"Text Field","Vstupní řádek"
"The attribute code '%s' is reserved by system. Please try another attribute code.","Kód atributu '%s' je rezervován pro systém. Prosím zkuste jiný kód atributu."
"The value of attribute ""%s"" must be unique.","Hodnota atributu ""%s"" musí být unikátní"
"This attribute is used in configurable products.","Vlastnost se používá v konfigurovatelném produktu."
"URL",""
"Unique Value","Unikátní hodnota"
"Unique Value (not shared with other products)","Unikátní hodnota (není sdíleno s ostatními produkty)"
"Unknown parameter.","Neznámý parametr"
"Valid store_id is expected.","Je očekáváno platné store_id!"
"Values Required","Vyžadované hodnoty"
"Wrong attribute ID.","Špatné id vlastnosti"
"Wrong attribute group ID.","Špatné id skupiny vlastností"
"Wrong attribute set ID.","Špatné id sady vlastností"
"Wrong entity ID.","Špatné ID entity"
"Yes","Ano"
"Yes/No","Ano/Ne"
"Saved ","Uloženo "
"Url","Url"
